workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
gemm,A40,256,Ref,0,16,0.015360,2184.533389,1,0.000000
gemm,A40,256,V1,1,16,0.030720,1092.266694,1,0.000023
gemm,A40,256,V0,0,16,0.025600,1310.720033,1,0.000023
gemm,A40,256,V3,2,16,0.030720,1092.266694,1,0.000023
gemm,A40,256,V3,3,16,0.030720,1092.266694,1,0.000023
gemm,A40,256,V3,4,16,0.030720,1092.266694,1,0.000023
gemm,A40,256,Ref,0,32,0.015360,2184.533389,1,0.000000
gemm,A40,256,V1,1,32,0.018432,1820.444380,1,0.000023
gemm,A40,256,V0,0,32,0.026624,1260.307707,1,0.000023
gemm,A40,256,V3,2,32,0.018944,1771.243253,1,0.000023
gemm,A40,256,V3,3,32,0.019456,1724.631656,1,0.000023
gemm,A40,256,V3,4,32,0.018432,1820.444380,1,0.000023
gemm,A40,256,Ref,0,64,0.015360,2184.533389,1,0.000000
gemm,A40,256,V1,1,64,0.026624,1260.307707,1,0.000023
gemm,A40,256,V0,0,64,0.026624,1260.307707,1,0.000023
gemm,A40,256,V3,2,64,0.026624,1260.307707,1,0.000023
gemm,A40,256,V3,3,64,0.028672,1170.285698,1,0.000023
gemm,A40,256,Ref,0,128,0.015360,2184.533389,1,0.000000
gemm,A40,512,Ref,0,16,0.030720,8738.133554,1,0.000000
gemm,A40,512,V1,1,16,0.155648,1724.631656,1,0.000069
gemm,A40,512,V0,0,16,0.134144,2001.099337,1,0.000069
gemm,A40,512,V3,2,16,0.156672,1713.359467,1,0.000069
gemm,A40,512,V3,3,16,0.156160,1718.977082,1,0.000069
gemm,A40,512,V3,4,16,0.155648,1724.631656,1,0.000069
gemm,A40,512,Ref,0,32,0.030720,8738.133554,1,0.000000
gemm,A40,512,V1,1,32,0.079360,3382.503351,1,0.000069
gemm,A40,512,V0,0,32,0.133632,2008.766331,1,0.000069
gemm,A40,512,V3,2,32,0.079360,3382.503351,1,0.000069
gemm,A40,512,V3,3,32,0.081408,3297.408896,1,0.000069
gemm,A40,512,V3,4,32,0.080896,3318.278580,1,0.000069
gemm,A40,512,Ref,0,64,0.030720,8738.133554,1,0.000000
gemm,A40,512,V1,1,64,0.051200,5242.880132,1,0.000069
gemm,A40,512,V0,0,64,0.133120,2016.492302,1,0.000069
gemm,A40,512,V3,2,64,0.050176,5349.877726,1,0.000069
gemm,A40,512,V3,3,64,0.054272,4946.113231,1,0.000069
gemm,A40,512,Ref,0,128,0.030720,8738.133554,1,0.000000
gemm,A40,1024,Ref,0,16,0.130048,16513.007014,1,0.000000
gemm,A40,1024,V1,1,16,1.090560,1969.156881,1,0.000504
gemm,A40,1024,V0,0,16,0.946176,2269.645040,1,0.000504
gemm,A40,1024,V3,2,16,1.094656,1961.788604,1,0.000504
gemm,A40,1024,V3,3,16,1.091584,1967.309628,1,0.000504
gemm,A40,1024,V3,4,16,1.091584,1967.309628,1,0.000504
gemm,A40,1024,Ref,0,32,0.130048,16513.007014,1,0.000000
gemm,A40,1024,V1,1,32,0.454656,4723.315264,1,0.000504
gemm,A40,1024,V0,0,32,0.945152,2272.104045,1,0.000504
gemm,A40,1024,V3,2,32,0.455680,4712.700992,1,0.000504
gemm,A40,1024,V3,3,32,0.464896,4619.277598,1,0.000504
gemm,A40,1024,V3,4,32,0.471040,4559.025986,1,0.000504
gemm,A40,1024,Ref,0,64,0.130048,16513.007014,1,0.000000
gemm,A40,1024,V1,1,64,0.287744,7463.174749,1,0.000504
gemm,A40,1024,V0,0,64,0.946176,2269.645040,1,0.000504
gemm,A40,1024,V3,2,64,0.418304,5133.787071,1,0.000504
gemm,A40,1024,V3,3,64,0.462336,4644.854890,1,0.000504
gemm,A40,1024,Ref,0,128,0.130048,16513.007014,1,0.000000
gemm,A40,2048,Ref,0,16,0.790016,21746.229547,1,0.000000
gemm,A40,2048,V1,1,16,8.639488,1988.528573,1,0.002686
gemm,A40,2048,V0,0,16,7.688192,2234.578545,1,0.002686
gemm,A40,2048,V3,2,16,8.732672,1967.309520,1,0.002686
gemm,A40,2048,V3,3,16,8.742912,1965.005322,1,0.002686
gemm,A40,2048,V3,4,16,8.668672,1981.834013,1,0.002686
gemm,A40,2048,Ref,0,32,0.790016,21746.229547,1,0.000000
gemm,A40,2048,V1,1,32,3.424768,5016.360036,1,0.002686
gemm,A40,2048,V0,0,32,7.687680,2234.727404,1,0.002686
gemm,A40,2048,V3,2,32,3.391488,5065.584429,1,0.002686
gemm,A40,2048,V3,3,32,3.448832,4981.358619,1,0.002686
gemm,A40,2048,V3,4,32,3.524096,4874.972108,1,0.002686
gemm,A40,2048,Ref,0,64,0.790016,21746.229547,1,0.000000
gemm,A40,2048,V1,1,64,1.793536,9578.770476,1,0.002686
gemm,A40,2048,V0,0,64,7.685632,2235.322899,1,0.002686
gemm,A40,2048,V3,2,64,2.853888,6019.811911,1,0.002686
gemm,A40,2048,V3,3,64,3.166720,5425.130421,1,0.002686
gemm,A40,2048,Ref,0,128,0.790016,21746.229547,1,0.000000
gemm,A40,3072,Ref,0,16,2.371584,24448.663845,1,0.000000
gemm,A40,3072,V1,1,16,29.060608,1995.211479,1,0.000000
gemm,A40,3072,V0,0,16,26.292736,2205.250088,1,0.000000
gemm,A40,3072,V3,2,16,30.831104,1880.635152,1,0.000000
gemm,A40,3072,V3,3,16,29.926911,1937.455483,1,0.000000
gemm,A40,3072,V3,4,16,29.662209,1954.745156,1,0.000000
gemm,A40,3072,Ref,0,32,2.371584,24448.663845,1,0.000000
gemm,A40,3072,V1,1,32,12.420096,4668.406659,1,0.000000
gemm,A40,3072,V0,0,32,26.462208,2191.127020,1,0.000000
gemm,A40,3072,V3,2,32,12.191744,4755.846186,1,0.000000
gemm,A40,3072,V3,3,32,12.383232,4682.304099,1,0.000000
gemm,A40,3072,V3,4,32,12.560896,4616.076661,1,0.000000
gemm,A40,3072,Ref,0,64,2.371584,24448.663845,1,0.000000
gemm,A40,3072,V1,1,64,6.114304,9483.018858,1,0.000000
gemm,A40,3072,V0,0,64,26.753535,2167.267163,1,0.000000
gemm,A40,3072,V3,2,64,9.227776,6283.427142,1,0.000000
gemm,A40,3072,V3,3,64,10.371584,5590.472857,1,0.000000
gemm,A40,3072,Ref,0,128,2.371584,24448.663845,1,0.000000
gemm,A40,4096,Ref,0,16,5.734400,23967.452283,1,0.000000
gemm,A40,4096,V1,1,16,69.958656,1964.573946,1,0.000000
gemm,A40,4096,V0,0,16,62.756351,2190.040534,1,0.000000
gemm,A40,4096,V3,2,16,71.758335,1915.302985,1,0.000000
gemm,A40,4096,V3,3,16,72.044544,1907.694121,1,0.000000
gemm,A40,4096,V3,4,16,71.413761,1924.544391,1,0.000000
gemm,A40,4096,Ref,0,32,5.734400,23967.452283,1,0.000000
gemm,A40,4096,V1,1,32,28.953088,4746.953223,1,0.000000
gemm,A40,4096,V0,0,32,63.696384,2157.719857,1,0.000000
gemm,A40,4096,V3,2,32,29.143552,4715.930107,1,0.000000
gemm,A40,4096,V3,3,32,29.876225,4600.278505,1,0.000000
gemm,A40,4096,V3,4,32,29.855232,4603.513125,1,0.000000
gemm,A40,4096,Ref,0,64,5.734400,23967.452283,1,0.000000
gemm,A40,4096,V1,1,64,14.598656,9414.493485,1,0.000000
gemm,A40,4096,V0,0,64,63.473152,2165.308462,1,0.000000
gemm,A40,4096,V3,2,64,21.415424,6417.755317,1,0.000000
gemm,A40,4096,V3,3,64,23.941120,5740.706894,1,0.000000
gemm,A40,4096,Ref,0,128,5.734400,23967.452283,1,0.000000
gemm,A40,6144,Ref,0,16,19.168768,24198.554111,1,0.000000
gemm,A40,6144,V1,1,16,240.241150,1930.795237,1,0.000000
gemm,A40,6144,V0,0,16,216.761856,2139.935856,1,0.000000
gemm,A40,6144,V3,2,16,243.768837,1902.853842,1,0.000000
gemm,A40,6144,V3,3,16,243.244545,1906.955274,1,0.000000
gemm,A40,6144,V3,4,16,243.188225,1907.396908,1,0.000000
gemm,A40,6144,Ref,0,32,19.168768,24198.554111,1,0.000000
gemm,A40,6144,V1,1,32,97.769470,4744.389705,1,0.000000
gemm,A40,6144,V0,0,32,216.232452,2145.175078,1,0.000000
gemm,A40,6144,V3,2,32,98.298878,4718.837882,1,0.000000
gemm,A40,6144,V3,3,32,100.549122,4613.232412,1,0.000000
gemm,A40,6144,V3,4,32,101.799934,4556.549773,1,0.000000
gemm,A40,6144,Ref,0,64,19.168768,24198.554111,1,0.000000
gemm,A40,6144,V1,1,64,49.610241,9350.014417,1,0.000000
gemm,A40,6144,V0,0,64,217.561089,2132.074587,1,0.000000
gemm,A40,6144,V3,2,64,72.922623,6360.940555,1,0.000000
gemm,A40,6144,V3,3,64,81.319424,5704.128817,1,0.000000
