workload,gpu,problem_size,stage,tile_size,measured_speedup
gemm,A40,1024,1,16,1.000000
gemm,A40,1024,1,32,1.000000
gemm,A40,1024,1,64,1.000000
gemm,A40,1024,2,16,0.996258
gemm,A40,1024,2,32,0.997753
gemm,A40,1024,2,64,0.687882
gemm,A40,1024,3,16,0.999062
gemm,A40,1024,3,32,0.977974
gemm,A40,1024,3,64,0.622370
gemm,A40,1024,4,16,0.999062
gemm,A40,1024,4,32,0.965217
gemm,A40,2048,1,16,1.000000
gemm,A40,2048,1,32,1.000000
gemm,A40,2048,1,64,1.000000
gemm,A40,2048,2,16,0.989329
gemm,A40,2048,2,32,1.009813
gemm,A40,2048,2,64,0.628454
gemm,A40,2048,3,16,0.988171
gemm,A40,2048,3,32,0.993023
gemm,A40,2048,3,64,0.566370
gemm,A40,2048,4,16,0.996633
gemm,A40,2048,4,32,0.971815
gemm,A40,256,1,16,1.000000
gemm,A40,256,1,32,1.000000
gemm,A40,256,1,64,1.000000
gemm,A40,256,2,16,1.000000
gemm,A40,256,2,32,0.972973
gemm,A40,256,2,64,1.000000
gemm,A40,256,3,16,1.000000
gemm,A40,256,3,32,0.947368
gemm,A40,256,3,64,0.928571
gemm,A40,256,4,16,1.000000
gemm,A40,256,4,32,1.000000
gemm,A40,3072,1,16,1.000000
gemm,A40,3072,1,32,1.000000
gemm,A40,3072,1,64,1.000000
gemm,A40,3072,2,16,0.942574
gemm,A40,3072,2,32,1.018730
gemm,A40,3072,2,64,0.662598
gemm,A40,3072,3,16,0.971053
gemm,A40,3072,3,32,1.002977
gemm,A40,3072,3,64,0.589525
gemm,A40,3072,4,16,0.979718
gemm,A40,3072,4,32,0.988791
gemm,A40,4096,1,16,1.000000
gemm,A40,4096,1,32,1.000000
gemm,A40,4096,1,64,1.000000
gemm,A40,4096,2,16,0.974920
gemm,A40,4096,2,32,0.993465
gemm,A40,4096,2,64,0.681689
gemm,A40,4096,3,16,0.971047
gemm,A40,4096,3,32,0.969101
gemm,A40,4096,3,64,0.609773
gemm,A40,4096,4,16,0.979624
gemm,A40,4096,4,32,0.969783
gemm,A40,512,1,16,1.000000
gemm,A40,512,1,32,1.000000
gemm,A40,512,1,64,1.000000
gemm,A40,512,2,16,0.993464
gemm,A40,512,2,32,1.000000
gemm,A40,512,2,64,1.020408
gemm,A40,512,3,16,0.996721
gemm,A40,512,3,32,0.974843
gemm,A40,512,3,64,0.943396
gemm,A40,512,4,16,1.000000
gemm,A40,512,4,32,0.981013
gemm,A40,6144,1,16,1.000000
gemm,A40,6144,1,32,1.000000
gemm,A40,6144,1,64,1.000000
gemm,A40,6144,2,16,0.985529
gemm,A40,6144,2,32,0.994614
gemm,A40,6144,2,64,0.680313
gemm,A40,6144,3,16,0.987653
gemm,A40,6144,3,32,0.972355
gemm,A40,6144,3,64,0.610066
gemm,A40,6144,4,16,0.987882
gemm,A40,6144,4,32,0.960408
gemm,A40,8192,1,16,1.000000
gemm,A40,8192,1,32,1.000000
gemm,A40,8192,1,64,1.000000
gemm,A40,8192,2,16,0.977263
gemm,A40,8192,2,32,0.994644
gemm,A40,8192,2,64,0.693120
gemm,A40,8192,3,16,0.979863
gemm,A40,8192,3,32,0.970532
gemm,A40,8192,3,64,0.621265
gemm,A40,8192,4,16,0.982683
gemm,A40,8192,4,32,0.958003
stencil,A40,1048576,1,256,1.000000
stencil,A40,1048576,2,256,0.916667
stencil,A40,1048576,3,256,0.942857
stencil,A40,1048576,4,256,0.857143
stencil,A40,16777216,1,256,1.000000
stencil,A40,16777216,2,256,0.942288
stencil,A40,16777216,3,256,0.941300
stencil,A40,16777216,4,256,0.952280
stencil,A40,262144,1,256,1.000000
stencil,A40,262144,2,256,0.909091
stencil,A40,262144,3,256,1.000000
stencil,A40,262144,4,256,1.000000
stencil,A40,4194304,1,256,1.000000
stencil,A40,4194304,2,256,0.943548
stencil,A40,4194304,3,256,0.951220
stencil,A40,4194304,4,256,0.966942
stencil,A40,65536,1,256,1.000000
stencil,A40,65536,2,256,1.000000
stencil,A40,65536,3,256,1.000000
stencil,A40,65536,4,256,1.076923
stencil,A40,67108864,1,256,1.000000
stencil,A40,67108864,2,256,0.942865
stencil,A40,67108864,3,256,0.940615
stencil,A40,67108864,4,256,0.957366
