gpu,size_bytes,elements,stride,iterations,cycles_per_load,ns_per_load,stream_bandwidth_gbps
A40,1048576,262144,32,4194304,256.367320,147.337540,36.489977
A40,2097152,524288,32,4194304,256.353147,147.329395,36.859392
A40,3145728,786432,32,4194304,256.353216,147.329434,36.956391
A40,4194304,1048576,32,4194304,256.351203,147.328278,36.984199
A40,6291456,1572864,32,4194304,374.753023,215.375301,55.476298
A40,8388608,2097152,32,4194304,556.020261,319.551874,73.926678
A40,10485760,2621440,32,4194304,554.811294,318.857066,92.304225
A40,12582912,3145728,32,4194304,556.068036,319.579331,110.702702
A40,16777216,4194304,32,4194304,556.063425,319.576681,147.354690
A40,20971520,5242880,32,4194304,556.093323,319.593864,174.762671
A40,25165824,6291456,32,4194304,556.069186,319.579992,209.268761
A40,29360128,7340032,32,4194304,556.068146,319.579394,257.436596
A40,33554432,8388608,32,4194304,556.070292,319.580627,293.554315
A40,37748736,9437184,32,4194304,556.079135,319.585710,312.738063
A40,41943040,10485760,32,4194304,556.066116,319.578228,366.532440
