workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
gemm,H100_SXM5,256,Ref,0,16,0.015824,2120.477327,1,0.000000
gemm,H100_SXM5,256,V1,1,16,0.018144,1849.340355,1,0.000023
gemm,H100_SXM5,256,V0,0,16,0.013424,2499.585176,1,0.000023
gemm,H100_SXM5,256,V3,2,16,0.018080,1855.886743,1,0.000023
gemm,H100_SXM5,256,V3,3,16,0.018672,1797.045356,1,0.000023
gemm,H100_SXM5,256,V3,4,16,0.018800,1784.810239,1,0.000023
gemm,H100_SXM5,256,Ref,0,32,0.015824,2120.477327,1,0.000000
gemm,H100_SXM5,256,V1,1,32,0.020880,1607.013047,1,0.000023
gemm,H100_SXM5,256,V0,0,32,0.013456,2493.640901,1,0.000023
gemm,H100_SXM5,256,V3,2,32,0.017696,1896.159164,1,0.000023
gemm,H100_SXM5,256,V3,3,32,0.017856,1879.168460,1,0.000023
gemm,H100_SXM5,256,V3,4,32,0.017808,1884.233642,1,0.000023
gemm,H100_SXM5,256,Ref,0,64,0.015824,2120.477327,1,0.000000
gemm,H100_SXM5,256,V1,1,64,0.025056,1339.177529,1,0.000023
gemm,H100_SXM5,256,V0,0,64,0.013472,2490.679310,1,0.000023
gemm,H100_SXM5,256,V3,2,64,0.025808,1300.156230,1,0.000023
gemm,H100_SXM5,256,V3,3,64,0.026064,1287.386122,1,0.000023
gemm,H100_SXM5,256,V3,4,64,0.024896,1347.784084,1,0.000023
gemm,H100_SXM5,256,Ref,0,128,0.015824,2120.477327,1,0.000000
gemm,H100_SXM5,256,V1,1,128,0.059696,562.088447,1,0.000023
gemm,H100_SXM5,256,V0,0,128,0.013504,2484.777267,1,0.000023
gemm,H100_SXM5,512,Ref,0,16,0.022048,12175.047759,1,0.000000
gemm,H100_SXM5,512,V1,1,16,0.071712,3743.243082,1,0.000069
gemm,H100_SXM5,512,V0,0,16,0.060624,4427.874396,1,0.000069
gemm,H100_SXM5,512,V3,2,16,0.074928,3582.578662,1,0.000069
gemm,H100_SXM5,512,V3,3,16,0.078240,3430.923530,1,0.000069
gemm,H100_SXM5,512,V3,4,16,0.078544,3417.644239,1,0.000069
gemm,H100_SXM5,512,Ref,0,32,0.022048,12175.047759,1,0.000000
gemm,H100_SXM5,512,V1,1,32,0.044960,5970.539552,1,0.000069
gemm,H100_SXM5,512,V0,0,32,0.061344,4375.903914,1,0.000069
gemm,H100_SXM5,512,V3,2,32,0.039376,6817.235280,1,0.000069
gemm,H100_SXM5,512,V3,3,32,0.038944,6892.858110,1,0.000069
gemm,H100_SXM5,512,V3,4,32,0.039120,6861.847060,1,0.000069
gemm,H100_SXM5,512,Ref,0,64,0.022048,12175.047759,1,0.000000
gemm,H100_SXM5,512,V1,1,64,0.045472,5903.313186,1,0.000069
gemm,H100_SXM5,512,V0,0,64,0.061520,4363.385242,1,0.000069
gemm,H100_SXM5,512,V3,2,64,0.045920,5845.719927,1,0.000069
gemm,H100_SXM5,512,V3,3,64,0.047840,5611.109124,1,0.000069
gemm,H100_SXM5,512,V3,4,64,0.045760,5866.159425,1,0.000069
gemm,H100_SXM5,512,Ref,0,128,0.022048,12175.047759,1,0.000000
gemm,H100_SXM5,512,V1,1,128,0.111168,2414.682849,1,0.000069
gemm,H100_SXM5,512,V0,0,128,0.061504,4364.520367,1,0.000069
gemm,H100_SXM5,1024,Ref,0,16,0.064096,33504.177660,1,0.000000
gemm,H100_SXM5,1024,V1,1,16,0.484912,4428.604803,1,0.000000
gemm,H100_SXM5,1024,V0,0,16,0.417440,5144.412760,1,0.000000
gemm,H100_SXM5,1024,V3,2,16,0.508400,4224.004085,1,0.000000
gemm,H100_SXM5,1024,V3,3,16,0.535104,4013.207941,1,0.000000
gemm,H100_SXM5,1024,V3,4,16,0.533680,4023.916355,1,0.000000
gemm,H100_SXM5,1024,Ref,0,32,0.064096,33504.177660,1,0.000000
gemm,H100_SXM5,1024,V1,1,32,0.242224,8865.693096,1,0.000000
gemm,H100_SXM5,1024,V0,0,32,0.419600,5117.930585,1,0.000000
gemm,H100_SXM5,1024,V3,2,32,0.237312,9049.199417,1,0.000000
gemm,H100_SXM5,1024,V3,3,32,0.238704,8996.429404,1,0.000000
gemm,H100_SXM5,1024,V3,4,32,0.234368,9162.870701,1,0.000000
gemm,H100_SXM5,1024,Ref,0,64,0.064096,33504.177660,1,0.000000
gemm,H100_SXM5,1024,V1,1,64,0.136368,15747.709605,1,0.000000
gemm,H100_SXM5,1024,V0,0,64,0.418576,5130.450951,1,0.000000
gemm,H100_SXM5,1024,V3,2,64,0.137408,15628.520277,1,0.000000
gemm,H100_SXM5,1024,V3,3,64,0.139600,15383.120547,1,0.000000
gemm,H100_SXM5,1024,V3,4,64,0.172112,12477.245113,1,0.000000
gemm,H100_SXM5,1024,Ref,0,128,0.064096,33504.177660,1,0.000000
gemm,H100_SXM5,1024,V1,1,128,0.200416,10715.130439,1,0.000000
gemm,H100_SXM5,1024,V0,0,128,0.419328,5121.250255,1,0.000000
gemm,H100_SXM5,2048,Ref,0,16,0.345696,49696.464733,1,0.000000
