workload,gpu,problem_size,stage,tile_size,measured_speedup
gemm,H100_SXM5,1024,1,128,1.000000
gemm,H100_SXM5,1024,1,16,1.000000
gemm,H100_SXM5,1024,1,32,1.000000
gemm,H100_SXM5,1024,1,64,1.000000
gemm,H100_SXM5,1024,2,16,0.953800
gemm,H100_SXM5,1024,2,32,1.020698
gemm,H100_SXM5,1024,2,64,0.992431
gemm,H100_SXM5,1024,3,16,0.906201
gemm,H100_SXM5,1024,3,32,1.014746
gemm,H100_SXM5,1024,3,64,0.976848
gemm,H100_SXM5,1024,4,16,0.908619
gemm,H100_SXM5,1024,4,32,1.033520
gemm,H100_SXM5,1024,4,64,0.792321
gemm,H100_SXM5,2048,1,128,1.000000
gemm,H100_SXM5,2048,1,16,1.000000
gemm,H100_SXM5,2048,1,32,1.000000
gemm,H100_SXM5,2048,1,64,1.000000
gemm,H100_SXM5,2048,2,16,0.949763
gemm,H100_SXM5,2048,2,32,0.983159
gemm,H100_SXM5,2048,2,64,0.969629
gemm,H100_SXM5,2048,3,16,0.902830
gemm,H100_SXM5,2048,3,32,0.980420
gemm,H100_SXM5,2048,3,64,0.837208
gemm,H100_SXM5,2048,4,16,0.907093
gemm,H100_SXM5,2048,4,32,1.000379
gemm,H100_SXM5,2048,4,64,0.582301
gemm,H100_SXM5,256,1,128,1.000000
gemm,H100_SXM5,256,1,16,1.000000
gemm,H100_SXM5,256,1,32,1.000000
gemm,H100_SXM5,256,1,64,1.000000
gemm,H100_SXM5,256,2,16,1.003540
gemm,H100_SXM5,256,2,32,1.179928
gemm,H100_SXM5,256,2,64,0.970862
gemm,H100_SXM5,256,3,16,0.971722
gemm,H100_SXM5,256,3,32,1.169355
gemm,H100_SXM5,256,3,64,0.961326
gemm,H100_SXM5,256,4,16,0.965106
gemm,H100_SXM5,256,4,32,1.172507
gemm,H100_SXM5,256,4,64,1.006427
gemm,H100_SXM5,3072,1,128,1.000000
gemm,H100_SXM5,3072,1,16,1.000000
gemm,H100_SXM5,3072,1,32,1.000000
gemm,H100_SXM5,3072,1,64,1.000000
gemm,H100_SXM5,3072,2,16,0.930349
gemm,H100_SXM5,3072,2,32,0.981568
gemm,H100_SXM5,3072,2,64,0.968426
gemm,H100_SXM5,3072,3,16,0.885075
gemm,H100_SXM5,3072,3,32,0.976680
gemm,H100_SXM5,3072,3,64,0.792878
gemm,H100_SXM5,3072,4,16,0.909499
gemm,H100_SXM5,3072,4,32,0.999567
gemm,H100_SXM5,3072,4,64,0.504908
gemm,H100_SXM5,4096,1,128,1.000000
gemm,H100_SXM5,4096,1,16,1.000000
gemm,H100_SXM5,4096,1,32,1.000000
gemm,H100_SXM5,4096,1,64,1.000000
gemm,H100_SXM5,4096,2,16,0.917103
gemm,H100_SXM5,4096,2,32,0.979653
gemm,H100_SXM5,4096,2,64,0.973992
gemm,H100_SXM5,4096,3,16,0.877000
gemm,H100_SXM5,4096,3,32,0.973567
gemm,H100_SXM5,4096,3,64,0.820116
gemm,H100_SXM5,4096,4,16,0.908404
