gpu,size_bytes,elements,stride,iterations,cycles_per_load,ns_per_load,stream_bandwidth_gbps
H100_SXM5,1048576,262144,32,4194304,287.401019,145.152030,37.819231
H100_SXM5,2097152,524288,32,4194304,287.077149,144.988459,38.150846
H100_SXM5,3145728,786432,32,4194304,286.987526,144.943195,38.257096
H100_SXM5,4194304,1048576,32,4194304,287.099091,144.999541,38.316744
H100_SXM5,6291456,1572864,32,4194304,287.154976,145.027766,57.439434
H100_SXM5,8388608,2097152,32,4194304,287.086843,144.993355,76.601299
H100_SXM5,10485760,2621440,32,4194304,287.145410,145.022934,95.706174
H100_SXM5,12582912,3145728,32,4194304,287.126627,145.013448,114.864187
H100_SXM5,16777216,4194304,32,4194304,287.151593,145.026057,153.065613
H100_SXM5,20971520,5242880,32,4194304,287.155397,145.027978,181.245202
H100_SXM5,25165824,6291456,32,4194304,296.429698,149.711969,217.347726
H100_SXM5,29360128,7340032,32,4194304,489.445779,247.194838,267.430537
H100_SXM5,33554432,8388608,32,4194304,530.251676,267.803877,305.284517
H100_SXM5,37748736,9437184,32,4194304,526.471629,265.894762,325.633482
H100_SXM5,41943040,10485760,32,4194304,530.281486,267.818932,380.912537
