workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
stencil,H100_SXM5,65536,V1,1,256,0.006672,275.031173,1,0.000000
stencil,H100_SXM5,65536,V3,2,256,0.006816,269.220658,1,0.000000
stencil,H100_SXM5,65536,V3,3,256,0.006848,267.962617,1,0.000000
stencil,H100_SXM5,65536,V3,4,256,0.006832,268.590160,1,0.000000
stencil,H100_SXM5,262144,V1,1,256,0.009744,753.287344,1,0.000000
stencil,H100_SXM5,262144,V3,2,256,0.010432,703.607344,1,0.000000
stencil,H100_SXM5,262144,V3,3,256,0.010304,712.347842,1,0.000000
stencil,H100_SXM5,262144,V3,4,256,0.010272,714.566979,1,0.000000
stencil,H100_SXM5,1048576,V1,1,256,0.023664,1240.708612,1,0.000000
stencil,H100_SXM5,1048576,V3,2,256,0.025360,1157.733782,1,0.000000
stencil,H100_SXM5,1048576,V3,3,256,0.024752,1186.171929,1,0.000000
stencil,H100_SXM5,1048576,V3,4,256,0.025088,1170.285753,1,0.000000
stencil,H100_SXM5,4194304,V1,1,256,0.085488,1373.766005,1,0.000000
stencil,H100_SXM5,4194304,V3,2,256,0.091616,1281.877789,1,0.000000
stencil,H100_SXM5,4194304,V3,3,256,0.088800,1322.528316,1,0.000000
stencil,H100_SXM5,4194304,V3,4,256,0.089424,1313.299708,1,0.000000
stencil,H100_SXM5,16777216,V1,1,256,0.480976,976.685006,1,0.000000
stencil,H100_SXM5,16777216,V3,2,256,0.509216,922.520184,1,0.000000
stencil,H100_SXM5,16777216,V3,3,256,0.493072,952.725048,1,0.000000
stencil,H100_SXM5,16777216,V3,4,256,0.500976,937.693725,1,0.000000
stencil,H100_SXM5,67108864,V1,1,256,1.908000,984.826100,1,0.000000
stencil,H100_SXM5,67108864,V3,2,256,2.021584,929.492992,1,0.000000
stencil,H100_SXM5,67108864,V3,3,256,1.956224,960.548571,1,0.000000
stencil,H100_SXM5,67108864,V3,4,256,1.986592,945.865179,1,0.000000
