workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
gemm,L40S,256,Ref,0,16,0.011776,2849.391241,1,0.000000
gemm,L40S,256,V1,1,16,0.014336,2340.571396,1,0.000029
gemm,L40S,256,V0,0,16,0.012272,2734.226788,1,0.000029
gemm,L40S,256,V3,2,16,0.015360,2184.533389,1,0.000029
gemm,L40S,256,V3,3,16,0.015328,2189.093969,1,0.000029
gemm,L40S,256,V3,4,16,0.014336,2340.571396,1,0.000029
gemm,L40S,256,Ref,0,32,0.011776,2849.391241,1,0.000000
gemm,L40S,256,V1,1,32,0.013312,2520.615413,1,0.000029
gemm,L40S,256,V0,0,32,0.012288,2730.666570,1,0.000029
gemm,L40S,256,V3,2,32,0.013312,2520.615413,1,0.000029
gemm,L40S,256,V3,3,32,0.013312,2520.615413,1,0.000029
gemm,L40S,256,V3,4,32,0.013312,2520.615413,1,0.000029
gemm,L40S,256,Ref,0,64,0.011776,2849.391241,1,0.000000
gemm,L40S,256,V1,1,64,0.019456,1724.631656,1,0.000029
gemm,L40S,256,V0,0,64,0.011264,2978.909068,1,0.000029
gemm,L40S,256,V3,2,64,0.018960,1769.748522,1,0.000029
gemm,L40S,256,V3,3,64,0.020480,1638.400041,1,0.000029
gemm,L40S,256,Ref,0,128,0.011776,2849.391241,1,0.000000
gemm,L40S,512,Ref,0,16,0.019456,13797.053244,1,0.000000
gemm,L40S,512,V1,1,16,0.069632,3855.058756,1,0.000069
gemm,L40S,512,V0,0,16,0.060384,4445.473121,1,0.000069
gemm,L40S,512,V3,2,16,0.070656,3799.188321,1,0.000069
gemm,L40S,512,V3,3,16,0.069632,3855.058756,1,0.000069
gemm,L40S,512,V3,4,16,0.070144,3826.919632,1,0.000069
gemm,L40S,512,Ref,0,32,0.019456,13797.053244,1,0.000000
gemm,L40S,512,V1,1,32,0.031216,8599.290820,1,0.000069
gemm,L40S,512,V0,0,32,0.060416,4443.118510,1,0.000069
gemm,L40S,512,V3,2,32,0.030720,8738.133554,1,0.000069
gemm,L40S,512,V3,3,32,0.031744,8456.258179,1,0.000069
gemm,L40S,512,V3,4,32,0.030720,8738.133554,1,0.000069
gemm,L40S,512,Ref,0,64,0.019456,13797.053244,1,0.000000
gemm,L40S,512,V1,1,64,0.034816,7710.117512,1,0.000069
gemm,L40S,512,V0,0,64,0.060416,4443.118510,1,0.000069
gemm,L40S,512,V3,2,64,0.034816,7710.117512,1,0.000069
gemm,L40S,512,V3,3,64,0.038896,6901.364045,1,0.000069
gemm,L40S,512,Ref,0,128,0.019456,13797.053244,1,0.000000
gemm,L40S,1024,Ref,0,16,0.077824,27594.106489,1,0.000000
gemm,L40S,1024,V1,1,16,0.452608,4744.687895,1,0.000481
gemm,L40S,1024,V0,0,16,0.395264,5433.036274,1,0.000481
gemm,L40S,1024,V3,2,16,0.462848,4639.716737,1,0.000481
gemm,L40S,1024,V3,3,16,0.456672,4702.464040,1,0.000481
gemm,L40S,1024,V3,4,16,0.454656,4723.315264,1,0.000481
gemm,L40S,1024,Ref,0,32,0.077824,27594.106489,1,0.000000
gemm,L40S,1024,V1,1,32,0.220160,9754.195678,1,0.000481
gemm,L40S,1024,V0,0,32,0.395264,5433.036274,1,0.000481
gemm,L40S,1024,V3,2,32,0.221696,9686.614458,1,0.000481
gemm,L40S,1024,V3,3,32,0.226816,9467.954914,1,0.000481
gemm,L40S,1024,V3,4,32,0.226304,9489.375790,1,0.000481
gemm,L40S,1024,Ref,0,64,0.077824,27594.106489,1,0.000000
gemm,L40S,1024,V1,1,64,0.119808,17924.375574,1,0.000481
gemm,L40S,1024,V0,0,64,0.395264,5433.036274,1,0.000481
gemm,L40S,1024,V3,2,64,0.135168,15887.515027,1,0.000481
gemm,L40S,1024,V3,3,64,0.143360,14979.656743,1,0.000481
gemm,L40S,1024,Ref,0,128,0.077824,27594.106489,1,0.000000
gemm,L40S,2048,Ref,0,16,0.392192,43804.740832,1,0.000000
gemm,L40S,2048,V1,1,16,3.501056,4907.053586,1,0.003052
gemm,L40S,2048,V0,0,16,3.080704,5576.604784,1,0.003052
gemm,L40S,2048,V3,2,16,3.606016,4764.224284,1,0.003052
gemm,L40S,2048,V3,3,16,3.543536,4848.227550,1,0.003052
gemm,L40S,2048,V3,4,16,3.528704,4868.606019,1,0.003052
gemm,L40S,2048,Ref,0,32,0.392192,43804.740832,1,0.000000
gemm,L40S,2048,V1,1,32,1.651712,10401.249843,1,0.003052
gemm,L40S,2048,V0,0,32,3.081728,5574.751770,1,0.003052
gemm,L40S,2048,V3,2,32,1.648640,10420.631201,1,0.003052
gemm,L40S,2048,V3,3,32,1.709056,10052.256675,1,0.003052
gemm,L40S,2048,V3,4,32,1.618928,10611.879603,1,0.003052
gemm,L40S,2048,Ref,0,64,0.392192,43804.740832,1,0.000000
gemm,L40S,2048,V1,1,64,0.943616,18206.419913,1,0.003052
gemm,L40S,2048,V0,0,64,3.092480,5555.369637,1,0.003052
gemm,L40S,2048,V3,2,64,1.012224,16972.399272,1,0.003052
gemm,L40S,2048,V3,3,64,1.087488,15797.754377,1,0.003052
gemm,L40S,2048,Ref,0,128,0.392192,43804.740832,1,0.000000
gemm,L40S,3072,Ref,0,16,1.327616,43673.817979,1,0.000000
gemm,L40S,3072,V1,1,16,12.296192,4715.448303,1,0.000000
gemm,L40S,3072,V0,0,16,10.973696,5283.731187,1,0.000000
gemm,L40S,3072,V3,2,16,12.460032,4653.443614,1,0.000000
gemm,L40S,3072,V3,3,16,12.400640,4675.731307,1,0.000000
gemm,L40S,3072,V3,4,16,12.327936,4703.306189,1,0.000000
gemm,L40S,3072,Ref,0,32,1.327616,43673.817979,1,0.000000
gemm,L40S,3072,V1,1,32,5.008384,11576.999411,1,0.000000
gemm,L40S,3072,V0,0,32,11.373568,5097.965795,1,0.000000
