workload,gpu,problem_size,stage,tile_size,measured_speedup
gemm,L40S,1024,1,16,1.000000
gemm,L40S,1024,1,32,1.000000
gemm,L40S,1024,1,64,1.000000
gemm,L40S,1024,2,16,0.977876
gemm,L40S,1024,2,32,1.002550
gemm,L40S,1024,2,64,0.883019
gemm,L40S,1024,3,16,0.991031
gemm,L40S,1024,3,32,0.972988
gemm,L40S,1024,3,64,0.835714
gemm,L40S,1024,4,16,0.995495
gemm,L40S,1024,4,32,0.981735
gemm,L40S,2048,1,16,1.000000
gemm,L40S,2048,1,32,1.000000
gemm,L40S,2048,1,64,1.000000
gemm,L40S,2048,2,16,0.971031
gemm,L40S,2048,2,32,1.013509
gemm,L40S,2048,2,64,0.940816
gemm,L40S,2048,3,16,0.987579
gemm,L40S,2048,3,32,1.048765
gemm,L40S,2048,3,64,0.868137
gemm,L40S,2048,4,16,0.991877
gemm,L40S,2048,4,32,1.032320
gemm,L40S,256,1,16,1.000000
gemm,L40S,256,1,32,1.000000
gemm,L40S,256,1,64,1.000000
gemm,L40S,256,2,16,0.933333
gemm,L40S,256,2,32,1.000000
gemm,L40S,256,2,64,1.000000
gemm,L40S,256,3,16,1.000000
gemm,L40S,256,3,32,0.928571
gemm,L40S,256,3,64,0.950000
gemm,L40S,256,4,16,0.967603
gemm,L40S,256,4,32,1.000000
gemm,L40S,3072,1,16,1.000000
gemm,L40S,3072,1,32,1.000000
gemm,L40S,3072,1,64,1.000000
gemm,L40S,3072,2,16,0.980485
gemm,L40S,3072,2,32,0.951371
gemm,L40S,3072,2,64,0.627238
gemm,L40S,3072,3,16,0.991577
gemm,L40S,3072,3,32,0.924313
gemm,L40S,3072,3,64,0.582994
gemm,L40S,3072,4,16,0.997385
gemm,L40S,3072,4,32,0.925455
gemm,L40S,4096,1,16,1.000000
gemm,L40S,4096,1,32,1.000000
gemm,L40S,4096,1,64,1.000000
gemm,L40S,4096,2,16,0.955587
gemm,L40S,4096,2,32,1.007517
gemm,L40S,4096,2,64,0.799859
gemm,L40S,4096,3,16,0.966765
gemm,L40S,4096,3,32,1.000775
gemm,L40S,4096,3,64,0.734244
gemm,L40S,4096,4,16,0.985355
gemm,L40S,4096,4,32,1.001184
gemm,L40S,512,1,16,1.000000
gemm,L40S,512,1,32,1.000000
gemm,L40S,512,1,64,1.000000
gemm,L40S,512,2,16,0.985507
gemm,L40S,512,2,32,1.016146
gemm,L40S,512,2,64,1.000000
gemm,L40S,512,3,16,1.000000
gemm,L40S,512,3,32,0.983367
gemm,L40S,512,3,64,0.906667
gemm,L40S,512,4,16,0.999770
gemm,L40S,512,4,32,1.016146
gemm,L40S,6144,1,16,1.000000
gemm,L40S,6144,1,32,1.000000
gemm,L40S,6144,1,64,1.000000
gemm,L40S,6144,2,16,0.957091
gemm,L40S,6144,2,32,0.961827
gemm,L40S,6144,2,64,0.807198
gemm,L40S,6144,3,16,0.954217
gemm,L40S,6144,3,32,0.962401
gemm,L40S,6144,3,64,0.748097
gemm,L40S,6144,4,16,0.970388
gemm,L40S,6144,4,32,0.972027
gemm,L40S,8192,1,16,1.000000
gemm,L40S,8192,1,32,1.000000
gemm,L40S,8192,1,64,1.000000
gemm,L40S,8192,2,16,0.987523
gemm,L40S,8192,2,32,0.979343
gemm,L40S,8192,2,64,0.832133
gemm,L40S,8192,3,16,0.989575
gemm,L40S,8192,3,32,0.969100
gemm,L40S,8192,3,64,0.769667
gemm,L40S,8192,4,16,0.992523
gemm,L40S,8192,4,32,0.994890
stencil,L40S,1048576,1,256,1.000000
stencil,L40S,1048576,2,256,0.921600
stencil,L40S,1048576,3,256,0.902114
stencil,L40S,1048576,4,256,0.945813
stencil,L40S,16777216,1,256,1.000000
stencil,L40S,16777216,2,256,0.948052
stencil,L40S,16777216,3,256,0.954248
stencil,L40S,16777216,4,256,0.964333
stencil,L40S,262144,1,256,1.000000
stencil,L40S,262144,2,256,0.875000
stencil,L40S,262144,3,256,0.875000
stencil,L40S,262144,4,256,0.875000
stencil,L40S,4194304,1,256,1.000000
stencil,L40S,4194304,2,256,0.939126
stencil,L40S,4194304,3,256,0.931345
stencil,L40S,4194304,4,256,0.945673
stencil,L40S,65536,1,256,1.000000
stencil,L40S,65536,2,256,1.000000
stencil,L40S,65536,3,256,1.000000
stencil,L40S,65536,4,256,1.000000
stencil,L40S,67108864,1,256,1.000000
stencil,L40S,67108864,2,256,0.946335
stencil,L40S,67108864,3,256,0.952569
stencil,L40S,67108864,4,256,0.964020
