gpu,size_bytes,elements,stride,iterations,cycles_per_load,ns_per_load,stream_bandwidth_gbps
L40S,1048576,262144,32,4194304,293.825600,116.597460,44.643052
L40S,2097152,524288,32,4194304,293.787131,116.582195,44.949244
L40S,3145728,786432,32,4194304,293.796012,116.585719,45.052244
L40S,4194304,1048576,32,4194304,293.802949,116.588472,45.103923
L40S,6291456,1572864,32,4194304,293.810941,116.591643,67.609353
L40S,8388608,2097152,32,4194304,293.815971,116.593639,90.145804
L40S,10485760,2621440,32,4194304,293.821049,116.595654,112.682255
L40S,12582912,3145728,32,4194304,293.824898,116.597182,135.125771
L40S,16777216,4194304,32,4194304,293.824804,116.597145,180.167695
L40S,20971520,5242880,32,4194304,293.823819,116.596754,213.333326
L40S,25165824,6291456,32,4194304,293.823468,116.596614,255.833451
L40S,29360128,7340032,32,4194304,293.823301,116.596548,314.644710
L40S,33554432,8388608,32,4194304,293.822612,116.596275,358.610134
L40S,37748736,9437184,32,4194304,293.822386,116.596185,382.513580
L40S,41943040,10485760,32,4194304,293.821619,116.595880,448.262667
L40S,1048576,262144,32,4194304,293.827299,116.598134,44.643052
L40S,2097152,524288,32,4194304,293.807707,116.590360,44.949244
L40S,3145728,786432,32,4194304,293.814678,116.593126,45.052244
L40S,4194304,1048576,32,4194304,293.817240,116.594143,45.103923
L40S,6291456,1572864,32,4194304,293.820758,116.595539,67.609353
L40S,8388608,2097152,32,4194304,293.822145,116.596089,90.145804
L40S,10485760,2621440,32,4194304,293.824047,116.596844,112.682255
L40S,12582912,3145728,32,4194304,293.826691,116.597893,135.125771
L40S,16777216,4194304,32,4194304,293.827668,116.598281,180.167695
L40S,20971520,5242880,32,4194304,293.829235,116.598903,213.333326
L40S,25165824,6291456,32,4194304,293.830265,116.599311,255.833451
L40S,29360128,7340032,32,4194304,293.831102,116.599644,314.860665
L40S,33554432,8388608,32,4194304,293.833153,116.600458,358.863254
L40S,37748736,9437184,32,4194304,293.836307,116.601709,382.754062
L40S,41943040,10485760,32,4194304,293.835450,116.601369,448.262667
L40S,50331648,12582912,32,4194304,293.837407,116.602145,508.359398
L40S,58720256,14680064,32,4194304,293.836314,116.601712,591.175279
L40S,67108864,16777216,32,4194304,293.835987,116.601582,674.325417
L40S,83886080,20971520,32,4194304,293.838131,116.602433,845.625782
L40S,100663296,25165824,32,4194304,302.137801,119.895953,1009.540444
L40S,117440512,29360128,32,4194304,597.371766,237.052288,1179.311074
L40S,134217728,33554432,32,4194304,640.710250,254.250099,1317.306520
L40S,1048576,262144,32,4194304,293.826796,116.597935,44.643052
L40S,2097152,524288,32,4194304,293.801066,116.587725,44.949244
L40S,3145728,786432,32,4194304,293.791857,116.584070,45.052244
L40S,4194304,1048576,32,4194304,293.800652,116.587560,45.103923
L40S,6291456,1572864,32,4194304,293.808526,116.590685,67.609353
L40S,8388608,2097152,32,4194304,293.814273,116.592966,90.145804
L40S,10485760,2621440,32,4194304,293.818044,116.594462,112.682255
L40S,12582912,3145728,32,4194304,293.823070,116.596456,135.125771
L40S,16777216,4194304,32,4194304,293.826735,116.597911,180.043953
L40S,20971520,5242880,32,4194304,293.826367,116.597765,213.333326
L40S,25165824,6291456,32,4194304,293.824874,116.597172,255.833451
L40S,29360128,7340032,32,4194304,293.824171,116.596893,314.644710
L40S,33554432,8388608,32,4194304,293.823080,116.596460,359.093682
L40S,37748736,9437184,32,4194304,293.822275,116.596141,382.754062
L40S,41943040,10485760,32,4194304,293.820742,116.595532,447.650282
L40S,50331648,12582912,32,4194304,293.820528,116.595448,509.017474
L40S,58720256,14680064,32,4194304,293.819838,116.595174,590.034740
L40S,67108864,16777216,32,4194304,293.819339,116.594976,675.193840
L40S,83886080,20971520,32,4194304,293.818942,116.594818,840.744069
L40S,100663296,25165824,32,4194304,302.168219,119.908023,1010.838063
L40S,117440512,29360128,32,4194304,599.213773,237.783243,1178.553643
L40S,134217728,33554432,32,4194304,642.812878,255.084475,1318.134500
