workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
stencil,L40S,65536,V1,1,256,0.005120,358.400009,1,0.000000
stencil,L40S,65536,V3,2,256,0.005120,358.400009,1,0.000000
stencil,L40S,65536,V3,3,256,0.005120,358.400009,1,0.000000
stencil,L40S,65536,V3,4,256,0.005088,360.654098,1,0.000000
stencil,L40S,262144,V1,1,256,0.007168,1023.999986,1,0.000000
stencil,L40S,262144,V3,2,256,0.008192,896.000002,1,0.000000
stencil,L40S,262144,V3,3,256,0.008192,896.000002,1,0.000000
stencil,L40S,262144,V3,4,256,0.008192,896.000002,1,0.000000
stencil,L40S,1048576,V1,1,256,0.018432,1592.888833,1,0.000000
stencil,L40S,1048576,V3,2,256,0.020464,1434.720920,1,0.000000
stencil,L40S,1048576,V3,3,256,0.019520,1504.104947,1,0.000000
stencil,L40S,1048576,V3,4,256,0.019456,1509.052699,1,0.000000
stencil,L40S,4194304,V1,1,256,0.062944,1865.793632,1,0.000000
stencil,L40S,4194304,V3,2,256,0.067072,1750.961823,1,0.000000
stencil,L40S,4194304,V3,3,256,0.067584,1737.696956,1,0.000000
stencil,L40S,4194304,V3,4,256,0.066560,1764.430764,1,0.000000
stencil,L40S,16777216,V1,1,256,0.373760,1256.854745,1,0.000000
stencil,L40S,16777216,V3,2,256,0.394240,1191.563661,1,0.000000
stencil,L40S,16777216,V3,3,256,0.392192,1197.785882,1,0.000000
stencil,L40S,16777216,V3,4,256,0.387584,1212.026417,1,0.000000
stencil,L40S,67108864,V1,1,256,1.480704,1269.023556,1,0.000000
stencil,L40S,67108864,V3,2,256,1.564160,1201.314574,1,0.000000
stencil,L40S,67108864,V3,3,256,1.554432,1208.832648,1,0.000000
stencil,L40S,67108864,V3,4,256,1.536000,1223.338656,1,0.000000
stencil,L40S,65536,V1,1,256,0.005120,358.400009,1,0.000000
stencil,L40S,65536,V3,2,256,0.005120,358.400009,1,0.000000
stencil,L40S,65536,V3,3,256,0.005120,358.400009,1,0.000000
stencil,L40S,65536,V3,4,256,0.005120,358.400009,1,0.000000
stencil,L40S,262144,V1,1,256,0.007664,957.728612,1,0.000000
stencil,L40S,262144,V3,2,256,0.008192,896.000002,1,0.000000
stencil,L40S,262144,V3,3,256,0.008192,896.000002,1,0.000000
stencil,L40S,262144,V3,4,256,0.008192,896.000002,1,0.000000
stencil,L40S,1048576,V1,1,256,0.018432,1592.888833,1,0.000000
stencil,L40S,1048576,V3,2,256,0.019968,1470.359025,1,0.000000
stencil,L40S,1048576,V3,3,256,0.020480,1433.600036,1,0.000000
stencil,L40S,1048576,V3,4,256,0.019968,1470.359025,1,0.000000
stencil,L40S,4194304,V1,1,256,0.063488,1849.806477,1,0.000000
stencil,L40S,4194304,V3,2,256,0.067584,1737.696956,1,0.000000
stencil,L40S,4194304,V3,3,256,0.066560,1764.430764,1,0.000000
stencil,L40S,4194304,V3,4,256,0.066560,1764.430764,1,0.000000
stencil,L40S,16777216,V1,1,256,0.373760,1256.854745,1,0.000000
stencil,L40S,16777216,V3,2,256,0.393680,1193.258587,1,0.000000
stencil,L40S,16777216,V3,3,256,0.391680,1199.351627,1,0.000000
stencil,L40S,16777216,V3,4,256,0.388096,1210.427426,1,0.000000
stencil,L40S,67108864,V1,1,256,1.479680,1269.901780,1,0.000000
stencil,L40S,67108864,V3,2,256,1.564672,1200.921471,1,0.000000
stencil,L40S,67108864,V3,3,256,1.554432,1208.832648,1,0.000000
stencil,L40S,67108864,V3,4,256,1.537024,1222.523634,1,0.000000
stencil,L40S,65536,V1,1,256,0.005120,358.400009,1,0.000000
stencil,L40S,65536,V3,2,256,0.005120,358.400009,1,0.000000
stencil,L40S,65536,V3,3,256,0.005120,358.400009,1,0.000000
stencil,L40S,65536,V3,4,256,0.005120,358.400009,1,0.000000
stencil,L40S,262144,V1,1,256,0.007168,1023.999986,1,0.000000
stencil,L40S,262144,V3,2,256,0.008192,896.000002,1,0.000000
stencil,L40S,262144,V3,3,256,0.008192,896.000002,1,0.000000
stencil,L40S,262144,V3,4,256,0.008192,896.000002,1,0.000000
stencil,L40S,1048576,V1,1,256,0.018432,1592.888833,1,0.000000
stencil,L40S,1048576,V3,2,256,0.020000,1468.006433,1,0.000000
stencil,L40S,1048576,V3,3,256,0.020432,1436.967890,1,0.000000
stencil,L40S,1048576,V3,4,256,0.019488,1506.574761,1,0.000000
stencil,L40S,4194304,V1,1,256,0.063488,1849.806477,1,0.000000
stencil,L40S,4194304,V3,2,256,0.067024,1752.215804,1,0.000000
stencil,L40S,4194304,V3,3,256,0.067584,1737.696956,1,0.000000
stencil,L40S,4194304,V3,4,256,0.066560,1764.430764,1,0.000000
stencil,L40S,16777216,V1,1,256,0.374768,1253.474265,1,0.000000
stencil,L40S,16777216,V3,2,256,0.394240,1191.563661,1,0.000000
stencil,L40S,16777216,V3,3,256,0.391680,1199.351627,1,0.000000
stencil,L40S,16777216,V3,4,256,0.387584,1212.026417,1,0.000000
stencil,L40S,67108864,V1,1,256,1.480192,1269.462516,1,0.000000
stencil,L40S,67108864,V3,2,256,1.564672,1200.921471,1,0.000000
stencil,L40S,67108864,V3,3,256,1.554432,1208.832648,1,0.000000
stencil,L40S,67108864,V3,4,256,1.535968,1223.364149,1,0.000000
