workload,gpu,problem_size,stage,tile_size,measured_speedup
gemm,V100,1024,1,16,1.000000
gemm,V100,1024,1,32,1.000000
gemm,V100,1024,1,64,1.000000
gemm,V100,2048,1,16,1.000000
gemm,V100,2048,1,32,1.000000
gemm,V100,2048,1,64,1.000000
gemm,V100,256,1,16,1.000000
gemm,V100,256,1,32,1.000000
gemm,V100,256,1,64,1.000000
gemm,V100,3072,1,16,1.000000
gemm,V100,3072,1,32,1.000000
gemm,V100,3072,1,64,1.000000
gemm,V100,4096,1,16,1.000000
gemm,V100,4096,1,32,1.000000
gemm,V100,4096,1,64,1.000000
gemm,V100,512,1,16,1.000000
gemm,V100,512,1,32,1.000000
gemm,V100,512,1,64,1.000000
gemm,V100,6144,1,16,1.000000
gemm,V100,6144,1,32,1.000000
gemm,V100,6144,1,64,1.000000
gemm,V100,8192,1,16,1.000000
gemm,V100,8192,1,32,1.000000
gemm,V100,8192,1,64,1.000000
stencil,V100,1048576,1,256,1.000000
stencil,V100,16777216,1,256,1.000000
stencil,V100,262144,1,256,1.000000
stencil,V100,4194304,1,256,1.000000
stencil,V100,65536,1,256,1.000000
stencil,V100,67108864,1,256,1.000000
