gpu,size_bytes,elements,stride,iterations,cycles_per_load,ns_per_load,stream_bandwidth_gbps
V100,1048576,262144,32,4194304,209.008062,151.455117,29.204990
V100,2097152,524288,32,4194304,208.916739,151.388942,29.362007
V100,3145728,786432,32,4194304,208.966435,151.424953,29.432335
V100,4194304,1048576,32,4194304,208.967000,151.425362,29.467213
V100,6291456,1572864,32,4194304,209.341880,151.697014,44.161726
V100,8388608,2097152,32,4194304,412.797802,299.128842,58.855861
V100,10485760,2621440,32,4194304,412.226227,298.714657,73.569826
V100,12582912,3145728,32,4194304,413.111714,299.356314,88.283791
V100,16777216,4194304,32,4194304,413.049629,299.311325,117.657241
V100,20971520,5242880,32,4194304,412.733679,299.082376,139.260519
V100,25165824,6291456,32,4194304,412.751165,299.095047,166.970700
V100,29360128,7340032,32,4194304,412.826679,299.149767,205.442006
V100,33554432,8388608,32,4194304,412.712821,299.067262,234.161674
V100,37748736,9437184,32,4194304,412.760443,299.101770,249.713796
V100,41943040,10485760,32,4194304,412.727726,299.078063,292.571421
